instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time
t84_swiss42,4.1s,9.0,9.0,0.0,9.0,9.0,1,7200,4.12
t84_st70,4.3s,9.0,9.0,0.0,9.0,9.0,1,7200,6243.01
t62_dantzig42,0.1s,6.0,7.0,0.0,6.0,6.0,1,7200,3960.46
t62_kroA100,1.0s,1.0,8.0,In,8.0,1.0,1,,
t84_kroB100,0.4s,1.0,10.0,In,10.0,1.0,1,,
at84_ft53,0.2s,1.0,10.0,In,10.0,1.0,1,,
t84_burma14,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
at62_ft70,0.8s,1.0,6.0,In,6.0,1.0,1,,
t62_brazil58,0.3s,1.0,6.0,In,6.0,1.0,1,,
at84_br17,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
t84_kroC100,0.3s,1.0,11.0,In,11.0,1.0,1,,
t84_gr17,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.02
t84_ulysses16,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.02
t84_gr21,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.02
t62_bayg29,3.5s,5.0,5.0,0.0,5.0,5.0,1,7200,3.48
t84_rd100,0.4s,1.0,11.0,In,11.0,1.0,1,,
at84_p43,48.1s,2.0,2.0,0.0,2.0,2.0,1,7200,48.08
t62_bays29,0.5s,6.0,6.0,0.0,6.0,6.0,1,7200,0.53
